iRacingChannelName;iRacingUnit;ChannelName;Unit;ConverstionFactor
Speed;m/s;vCar;m/s;1
LapCurrentLapTime;s;tLap;s;1
LatAccel;m/s�;gLat;m/s�;1
LongAccel;m/s�;gLong;m/s�;1
ThrottleRaw;1;rThrottle;1;1
Brake;1;rBrake;1;1
FuelUsePerHour;kg/h;dmFuel;g/s;0.277777777778
LapDist;m;sLap;m;1
Alt;m;zTrack;m;1
Clutch;1;rClutch;1;1
LFspeed;m/s;vWheelFL;m/s;1
RFspeed;m/s;vWheelFR;m/s;1
LRspeed;m/s;vWheelRL;m/s;1
RRspeed;m/s;vWheelRR;m/s;1
VelocityX;m/s;vCarX;m/s;1
VelocityY;m/s;vCarY;m/s;1
VelocityZ;m/s;vCarZ;m/s;1
FuelLevel;l;VFuel;l;1
